longitude,latitude,azimuth_value
57.65,24.06,121.27
58.62,24.01,106.43
59.59,23.96,105.99
57.69,24.95,125.09
58.68,24.91,108.58
59.66,24.85,106.65
60.63,24.79,109.2
50.77,26.01,35.51
51.77,26.01,336.63
52.76,26.0,132.07
53.76,25.98,108.85
54.76,25.96,91.62
55.76,25.93,117.34
56.75,25.89,320.34
57.74,25.85,319.4
58.73,25.8,318.02
59.72,25.74,110.35
60.7,25.68,111.76
50.76,26.91,43.68
51.77,26.91,4.39
52.78,26.9,119.05
53.78,26.88,110.46
54.79,26.86,96.04
55.79,26.83,107.4
56.8,26.79,125.44
57.79,26.75,129.2
58.79,26.7,124.84
59.79,26.64,110.56
60.78,26.57,109.36
50.76,27.81,324.1
51.78,27.81,131.94
52.79,27.8,119.38
53.81,27.78,109.69
54.82,27.76,95.09
55.83,27.73,94.87
56.84,27.69,101.3
57.85,27.64,113.06
58.85,27.59,116.03
59.86,27.53,115.18
60.86,27.46,115.72
50.76,28.72,133.35
51.78,28.71,127.65
52.81,28.7,117.3
53.83,28.69,102.97
54.85,28.66,92.03
55.87,28.63,95.65
56.89,28.59,108.35
57.91,28.54,113.14
58.92,28.48,118.06
59.93,28.42,120.5
60.94,28.35,318.9
48.69,29.6,345.01
49.73,29.61,126.18
50.76,29.62,122.53
51.79,29.62,116.48
52.82,29.61,99.4
53.86,29.59,71.51
54.89,29.56,73.68
55.92,29.53,100.86
56.94,29.49,126.53
57.97,29.44,125.1
58.99,29.38,125.58
60.01,29.31,134.99
61.02,29.24,319.98
48.67,30.5,342.5
49.71,30.51,125.77
50.76,30.52,122.66
51.8,30.52,115.85
52.84,30.51,100.95
53.88,30.49,73.23
54.92,30.46,83.94
55.96,30.43,89.3
57.0,30.38,113.3
58.03,30.33,121.62
59.06,30.27,123.39
60.09,30.2,131.63
61.11,30.13,128.01
48.65,31.4,113.79
49.7,31.42,122.69
50.75,31.42,124.2
51.81,31.42,115.85
52.86,31.41,115.02
53.91,31.39,111.89
54.96,31.36,103.63
56.01,31.33,93.86
57.05,31.28,104.6
58.1,31.23,119.95
59.14,31.16,125.79
60.17,31.09,130.44
61.21,31.02,120.33
47.57,32.28,109.78
48.63,32.3,103.51
49.69,32.32,110.5
50.75,32.33,114.03
51.81,32.32,103.22
52.88,32.31,116.71
53.94,32.29,120.64
55.0,32.26,108.39
56.06,32.22,115.26
57.11,32.18,117.16
58.16,32.12,122.62
59.21,32.06,126.04
60.26,31.99,130.34
61.3,31.9,132.47
46.46,33.14,127.53
47.53,33.18,108.51
48.6,33.2,105.3
49.68,33.22,106.18
50.75,33.23,112.89
51.82,33.22,90.69
52.9,33.21,86.66
53.97,33.19,88.98
55.04,33.16,122.3
56.11,33.12,317.45
57.17,33.07,120.09
58.24,33.02,121.61
59.3,32.95,120.07
60.35,32.88,121.76
61.41,32.79,129.13
46.41,34.04,109.69
47.5,34.08,106.08
48.58,34.11,105.84
49.66,34.12,107.3
50.75,34.13,96.64
51.83,34.13,107.27
52.91,34.11,102.28
54.0,34.09,94.88
55.08,34.06,129.41
56.16,34.02,335.3
57.24,33.97,112.17
58.31,33.91,118.08
59.38,33.84,120.32
60.45,33.77,120.12
61.51,33.68,123.86
46.37,34.94,103.79
47.46,34.98,95.85
48.55,35.01,88.76
49.65,35.02,97.7
50.74,35.03,112.99
51.84,35.03,119.85
52.94,35.02,114.32
54.03,34.99,110.44
55.12,34.96,91.19
56.22,34.92,127.9
57.3,34.87,114.7
58.39,34.81,117.13
59.47,34.74,119.83
60.55,34.65,123.87
61.62,34.57,112.59
46.31,35.84,89.87
47.42,35.88,93.69
48.52,35.91,84.68
49.63,35.93,102.56
50.74,35.93,120.74
51.85,35.93,123.49
52.96,35.92,121.35
54.06,35.89,113.8
55.17,35.86,105.18
56.27,35.82,121.11
57.37,35.76,118.96
58.47,35.7,119.7
59.57,35.63,116.5
60.66,35.54,128.69
61.74,35.45,131.32
46.26,36.74,71.59
47.38,36.78,74.95
48.5,36.81,40.07
49.62,36.83,15.73
50.74,36.83,133.37
51.86,36.83,127.26
52.98,36.82,124.77
54.1,36.79,108.83
55.22,36.76,104.35
56.33,36.71,116.99
57.45,36.66,117.11
58.56,36.59,115.4
59.66,36.52,119.04
60.77,36.43,316.05
45.07,37.59,69.3
46.2,37.64,66.89
47.33,37.68,64.12
48.47,37.71,52.68
49.6,37.73,32.71
56.4,37.61,116.9
57.52,37.56,119.27
58.65,37.49,118.91
59.77,37.41,119.24
45.0,38.48,71.78
46.14,38.54,66.55
47.29,38.58,57.83
48.43,38.61,52.52
49.58,38.63,36.18
44.93,39.38,70.37
46.08,39.43,61.24
47.24,39.48,49.91
48.4,39.51,43.41
