time,longitude,latitude,magnitude
1930.7524604261796,52.1,35.8,5.1
1930.766767694064,52.1,35.8,5.1
1945.3584807204466,52.1,34.8,4.6
1951.30485670345,52.1,34.8,5.0
1954.6710939878235,52.0,35.3,4.5
1957.3441910832064,51.3,36.45,5.5
1959.3297261542364,51.29,36.48,5.4
1963.5095691907661,51.5,35.8,4.3
1966.8524242770168,50.74,36.1,5.0
1967.1273887620498,51.9,35.4,4.7
1970.4858408802638,50.8,35.12,5.0
1970.754218131659,51.31,36.01,4.3
1974.0265531139016,51.95,35.8,4.5
1975.7925778158294,51.819,36.153,3.0
1979.1430503868594,52.099,35.201,4.8
1981.5911985984271,51.268,36.445,4.9
1982.8156294710807,52.355,35.208,4.8
1983.2287628741756,52.361,36.132,5.4
1983.2306075279046,52.279,36.057,4.9
1983.4074498985287,52.169,35.242,4.6
1988.0368270592996,50.6,36.01,4.8
1988.6417797194395,52.378,35.348,5.4
1988.6427042539465,52.275,35.419,5.2
1988.6433252694292,52.344,35.337,5.1
1988.643803000405,52.402,35.64,4.3
1988.8134144783444,52.295,35.254,5.0
1988.8186273021656,52.228,35.119,4.9
1988.923169588646,51.112,36.302,4.2
1988.9365531711699,52.204,35.149,4.5
1991.058912512684,52.322,35.44,4.7
1993.1830163622526,51.024,36.495,4.6
1993.360010052004,51.98,36.39,4.5
1993.631287037037,52.09,35.09,4.8
1994.889831240487,51.913,36.05,4.7
1997.8464287480974,51.371,34.94,4.4
1998.5135970953831,52.079,36.212,3.9
1998.6620108764587,52.124,36.096,3.9
1998.922057775241,50.972,36.063,4.5
2001.477521499239,52.184,35.838,3.9
2002.0307427067478,50.555,35.608,3.6
2002.2678671676813,52.017,36.365,4.8
2002.384795598681,51.547,36.292,4.3
2002.773998604769,52.249,35.823,4.7
2002.7878987189245,52.232,35.838,4.3
2002.7882346524607,52.223,35.82,4.4
2004.1407246445558,52.27,35.74,3.9
2004.4058111655029,51.587,36.321,6.2
2004.405865051356,51.717,36.418,4.1
2004.4058801988465,51.514,36.45,5.2
2004.4059059717163,51.737,36.363,3.7
2004.4059196012952,51.576,36.459,4.2
2004.4066238489172,51.341,36.488,4.8
2004.4067108442116,51.147,36.568,3.4
2004.4075830107772,51.694,36.442,3.9
2004.4076597285468,51.418,36.514,3.4
2004.4081735415402,51.388,36.544,5.1
2004.4083588848412,51.412,36.532,4.6
2004.4088892367436,51.429,36.545,3.8
2004.4090968111213,51.457,36.528,4.0
2004.4092252327464,51.361,36.524,3.9
2004.409234023983,51.425,36.487,4.0
2004.4097132096235,51.415,36.541,4.1
2004.4100308325744,51.588,36.488,4.4
2004.4113346868044,51.404,36.563,4.4
2004.4120503187614,51.556,36.455,4.0
2004.4150833586318,51.311,36.558,3.4
2004.432151829083,51.385,36.519,4.3
2004.4461210724044,51.542,36.474,3.1
2004.447804657458,51.571,36.511,3.8
2004.52610197202,51.616,36.532,3.7
2004.7297032483302,52.405,36.657,4.1
2006.1451282661085,50.42,36.085,3.1
2006.9676547754946,51.926,35.79,3.6
2007.4228391362253,51.374,36.445,3.9
2007.6477313546422,51.952,34.926,4.4
2009.6152924594114,52.003,36.371,4.2
2009.6192325279046,51.994,36.437,4.2
2009.7930249873161,51.498,35.561,4.3
2010.1839464104517,51.862,36.471,3.8
2011.1382843734145,51.847,35.4,4.0
2011.8864519279552,51.906,35.223,3.4
2012.1103136068105,52.426,35.542,4.3
2012.5641930087534,52.148,36.031,4.0
2012.6280196000303,51.874,35.833,4.0
2015.2623653602232,52.253,35.197,3.0
2015.6158329845257,51.925,35.152,3.4
2015.6158337455606,51.895,35.145,4.3
2015.6158630454083,51.94,35.15,3.9
2015.6171775114155,51.942,35.14,3.4
2015.648250317098,52.613,35.57,3.2
2015.648585521309,52.628,35.577,4.8
